                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2271,                 1.0412,                 1.2377,                0.83473,                0.59855,                0.72967,                0.48972,                 1.2775,                 1.0091,                 1.3501,              0.0091686,              0.0091686,              0.0091686
                     88,                 1.2005,                  1.022,                 1.2309,                0.85066,                0.60742,                0.71986,                0.45979,                 1.3705,                 1.0231,                 1.4001,              0.0091589,              0.0091589,              0.0091589
                     89,                  1.216,                 1.0158,                 1.2429,                0.80726,                0.62214,                0.71536,                0.46566,                 1.3002,                  1.113,                 1.3773,              0.0091492,              0.0091492,              0.0091492
                     90,                 1.1673,                0.98423,                 1.2181,                0.80008,                0.67323,                0.74565,                0.49663,                 1.3377,                0.93011,                 1.3904,              0.0091396,              0.0091396,              0.0091396
                     91,                 1.2041,                0.99141,                 1.2166,                 0.6906,                0.66541,                0.71829,                0.45102,                 1.3692,                0.96909,                 1.4173,              0.0091299,              0.0091299,              0.0091299
                     92,                 1.1982,                0.98602,                 1.2117,                0.81875,                0.66017,                0.72341,                0.45807,                 1.4126,                 1.0191,                 1.4227,              0.0091202,              0.0091202,              0.0091202
                     93,                 1.1989,                0.97766,                 1.2168,                0.75352,                0.60847,                0.67224,                0.41763,                  1.372,                 1.0563,                 1.4087,              0.0091105,              0.0091105,              0.0091105
                     94,                 1.1736,                0.97823,                  1.212,                0.81002,                0.70688,                0.77541,                0.49465,                 1.2992,                0.98595,                 1.3611,              0.0091009,              0.0091009,              0.0091009
                     95,                 1.2062,                 1.0086,                 1.2183,                0.71852,                0.68378,                0.70557,                0.45109,                 1.3882,                 1.0658,                  1.449,              0.0090912,              0.0090912,              0.0090912
                     96,                 1.1831,                0.96123,                 1.2101,                0.86209,                0.64953,                0.76181,                0.50511,                 1.2719,                0.96931,                 1.3574,              0.0090815,              0.0090815,              0.0090815
                     97,                 1.1954,                0.98475,                  1.217,                0.76057,                0.62932,                0.70576,                0.45555,                 1.3771,                 0.9933,                  1.397,              0.0090719,              0.0090719,              0.0090719
